X,Y,Intensity
472.0,736.0,123
472.0,737.0,96
474.0,734.0,143
473.0,733.0,129
473.0,735.0,136
472.0,732.0,121
473.0,734.0,133
472.0,731.0,137
473.0,733.0,127
472.0,730.0,133
463.0,705.0,111
463.0,705.0,111
472.0,730.0,132
464.0,706.0,88
463.0,706.0,52
471.0,730.0,142
465.0,705.0,82
471.0,730.0,142
469.0,725.0,76
469.0,725.0,76
471.0,732.0,70
469.0,725.0,76
457.0,698.0,124
469.0,725.0,76
457.0,698.0,126
457.0,699.0,117
469.0,726.0,113
457.0,698.0,123
464.0,706.0,74
469.0,727.0,102
461.0,702.0,114
469.0,726.0,113
469.0,727.0,102
459.0,704.0,122
469.0,727.0,97
461.0,704.0,113
453.0,681.0,133
462.0,705.0,126
453.0,682.0,123
453.0,681.0,131
463.0,708.0,110
453.0,681.0,130
463.0,708.0,110
472.0,727.0,113
465.0,706.0,93
471.0,728.0,129
471.0,728.0,128
464.0,704.0,95
471.0,727.0,108
464.0,705.0,113
461.0,684.0,113
469.0,712.0,139
461.0,684.0,113
460.0,683.0,109
470.0,714.0,118
461.0,683.0,114
470.0,714.0,118
471.0,727.0,107
467.0,710.0,135
470.0,727.0,60
471.0,733.0,75
469.0,726.0,138
471.0,733.0,75
469.0,726.0,144
457.0,702.0,124
469.0,726.0,139
458.0,703.0,132
454.0,679.0,74
464.0,709.0,131
454.0,680.0,114
454.0,679.0,70
464.0,711.0,129
454.0,679.0,71
465.0,709.0,135
471.0,730.0,150
463.0,708.0,119
463.0,708.0,119
471.0,730.0,150
461.0,707.0,107
461.0,709.0,104
462.0,709.0,112
453.0,680.0,144
461.0,708.0,75
461.0,707.0,107
453.0,680.0,141
461.0,707.0,102
462.0,708.0,109
454.0,679.0,78
462.0,708.0,108
465.0,706.0,105
454.0,680.0,108
462.0,708.0,106
454.0,680.0,106
454.0,680.0,102
462.0,707.0,102
455.0,681.0,107
462.0,707.0,102
471.0,728.0,129
470.0,727.0,59
470.0,727.0,59
472.0,728.0,125
464.0,703.0,73
465.0,703.0,89
454.0,674.0,93
452.0,670.0,129
452.0,669.0,141
451.0,668.0,144
451.0,668.0,144
451.0,667.0,129
450.0,667.0,111
451.0,668.0,137
451.0,667.0,121
452.0,669.0,132
453.0,673.0,96
461.0,703.0,124
469.0,726.0,135
472.0,732.0,113
468.0,726.0,88
468.0,726.0,88
468.0,725.0,30
472.0,730.0,134
472.0,733.0,58
473.0,734.0,157
473.0,733.0,127
472.0,734.0,105
471.0,735.0,104
472.0,735.0,128
473.0,737.0,105
474.0,737.0,152
473.0,738.0,86
473.0,738.0,84
473.0,738.0,86
473.0,737.0,110
473.0,736.0,105
471.0,735.0,101
471.0,733.0,72
471.0,733.0,72
472.0,733.0,90
473.0,733.0,137
470.0,729.0,121
460.0,705.0,61
453.0,691.0,137
460.0,716.0,113
460.0,716.0,113
460.0,716.0,117
460.0,717.0,128
460.0,715.0,118
453.0,692.0,136
454.0,691.0,154
455.0,690.0,125
460.0,712.0,139
472.0,725.0,104
457.0,709.0,124
458.0,709.0,100
466.0,715.0,113
468.0,715.0,113
459.0,697.0,129
459.0,697.0,129
459.0,698.0,148
467.0,721.0,108
458.0,697.0,129
453.0,680.0,145
453.0,673.0,101
453.0,673.0,105
452.0,673.0,133
453.0,673.0,102
453.0,673.0,102
453.0,673.0,107
453.0,673.0,107
453.0,673.0,107
453.0,672.0,111
453.0,679.0,112
464.0,708.0,141
462.0,708.0,123
453.0,679.0,112
453.0,679.0,112
462.0,708.0,120
464.0,708.0,131
452.0,682.0,154
453.0,682.0,128
452.0,682.0,154
452.0,681.0,143
452.0,681.0,145
451.0,687.0,100
450.0,686.0,93
450.0,686.0,98
450.0,686.0,102
450.0,686.0,102
450.0,684.0,105
450.0,684.0,103
458.0,712.0,136
461.0,711.0,130
451.0,686.0,123
464.0,707.0,140
469.0,728.0,117
463.0,706.0,75
454.0,679.0,112
463.0,707.0,102
470.0,728.0,117
461.0,719.0,113
453.0,697.0,141
462.0,718.0,104
470.0,730.0,145
461.0,718.0,140
450.0,701.0,135
461.0,711.0,133
469.0,726.0,114
463.0,711.0,117
453.0,692.0,141
460.0,698.0,149
469.0,722.0,94
460.0,698.0,149
453.0,679.0,110
463.0,691.0,115
471.0,720.0,78
463.0,708.0,124
453.0,675.0,100
453.0,678.0,99
462.0,710.0,125
460.0,705.0,82
453.0,678.0,107
452.0,678.0,119
454.0,679.0,104
453.0,679.0,108
453.0,679.0,108
461.0,704.0,133
461.0,704.0,133
463.0,704.0,124
463.0,704.0,122
464.0,708.0,155
465.0,708.0,143
465.0,708.0,143
472.0,732.0,132
472.0,733.0,102
473.0,731.0,104
463.0,706.0,72
463.0,706.0,72
471.0,731.0,128
471.0,730.0,143
463.0,707.0,106
463.0,707.0,107
469.0,710.0,122
469.0,710.0,126
466.0,708.0,107
458.0,680.0,113
457.0,686.0,109
465.0,711.0,115
465.0,711.0,111
456.0,686.0,129
457.0,686.0,115
459.0,688.0,93
463.0,709.0,118
463.0,708.0,92
455.0,683.0,133
455.0,683.0,133
463.0,706.0,74
463.0,707.0,101
456.0,696.0,137
456.0,696.0,137
456.0,696.0,137
459.0,717.0,117
459.0,716.0,71
453.0,694.0,107
454.0,694.0,128
461.0,719.0,110
461.0,718.0,145
454.0,693.0,144
454.0,673.0,96
462.0,706.0,69
470.0,728.0,121
461.0,704.0,115
454.0,674.0,93
462.0,705.0,131
467.0,725.0,55
460.0,703.0,133
460.0,703.0,133
468.0,725.0,33
468.0,725.0,33
460.0,704.0,107
462.0,704.0,141
470.0,724.0,75
470.0,725.0,94
470.0,724.0,76
473.0,727.0,108
473.0,727.0,106
460.0,706.0,125
460.0,706.0,125
461.0,707.0,127
461.0,706.0,135
461.0,707.0,126
450.0,693.0,105
450.0,693.0,105
450.0,693.0,105
450.0,693.0,105
450.0,693.0,105
462.0,715.0,25
460.0,715.0,123
460.0,715.0,123
459.0,714.0,164
459.0,715.0,125
