X,Y,Intensity
451.0,674.0,121
451.0,673.0,155
451.0,676.0,117
460.0,686.0,145
437.0,713.0,60
695.0,682.0,0
697.0,685.0,0
683.0,676.0,0
673.0,687.0,0
674.0,692.0,0
676.0,683.0,0
668.0,677.0,0
677.0,686.0,0
679.0,681.0,0
660.0,672.0,0
673.0,682.0,0
681.0,686.0,0
678.0,679.0,0
671.0,676.0,0
679.0,681.0,0
696.0,683.0,0
676.0,673.0,0
675.0,675.0,0
684.0,684.0,0
682.0,686.0,0
671.0,678.0,0
664.0,688.0,0
672.0,693.0,0
671.0,695.0,0
663.0,689.0,0
666.0,691.0,0
666.0,690.0,0
663.0,687.0,0
659.0,678.0,0
555.0,714.0,0
660.0,673.0,0
663.0,674.0,0
687.0,697.0,0
676.0,684.0,0
691.0,693.0,0
688.0,689.0,0
695.0,683.0,0
660.0,674.0,0
657.0,680.0,0
671.0,679.0,0
674.0,673.0,0
698.0,675.0,0
707.0,679.0,47
705.0,673.0,48
705.0,675.0,46
716.0,690.0,106
721.0,695.0,91
711.0,678.0,19
693.0,679.0,0
698.0,684.0,4
691.0,684.0,0
665.0,676.0,0
671.0,688.0,0
679.0,693.0,0
686.0,687.0,0
678.0,682.0,0
680.0,688.0,0
604.0,700.0,0
571.0,701.0,0
505.0,726.0,43
508.0,732.0,97
503.0,729.0,113
458.0,739.0,88
470.0,703.0,138
468.0,690.0,70
468.0,667.0,102
450.0,691.0,89
759.0,695.0,81
741.0,694.0,91
664.0,674.0,0
658.0,675.0,0
532.0,700.0,0
530.0,698.0,0
516.0,705.0,0
504.0,728.0,60
510.0,708.0,8
469.0,738.0,138
448.0,747.0,87
450.0,716.0,127
469.0,658.0,112
475.0,662.0,117
482.0,696.0,23
468.0,680.0,83
451.0,702.0,69
761.0,701.0,67
512.0,738.0,66
491.0,733.0,75
448.0,720.0,107
455.0,711.0,81
479.0,669.0,86
452.0,686.0,88
484.0,704.0,0
474.0,684.0,47
441.0,717.0,96
444.0,755.0,84
482.0,733.0,87
475.0,737.0,132
461.0,717.0,127
462.0,700.0,106
461.0,679.0,147
462.0,706.0,74
479.0,685.0,90
475.0,716.0,44
675.0,678.0,0
675.0,683.0,0
675.0,674.0,0
674.0,677.0,0
672.0,690.0,0
679.0,686.0,0
678.0,680.0,0
677.0,686.0,0
675.0,694.0,0
673.0,687.0,0
660.0,680.0,0
670.0,690.0,0
670.0,691.0,0
659.0,679.0,0
659.0,678.0,0
671.0,694.0,0
660.0,672.0,0
660.0,668.0,0
661.0,671.0,0
676.0,679.0,0
702.0,672.0,3
708.0,677.0,0
723.0,695.0,68
707.0,673.0,88
718.0,681.0,35
717.0,683.0,41
670.0,679.0,0
661.0,674.0,0
663.0,680.0,0
674.0,679.0,0
686.0,676.0,0
691.0,677.0,0
702.0,684.0,30
711.0,691.0,37
697.0,679.0,2
691.0,682.0,0
703.0,694.0,17
684.0,688.0,0
666.0,678.0,0
663.0,678.0,0
676.0,688.0,0
672.0,678.0,0
662.0,671.0,0
673.0,676.0,0
685.0,680.0,0
692.0,674.0,5
699.0,689.0,8
698.0,693.0,0
690.0,684.0,0
683.0,681.0,0
680.0,683.0,0
662.0,682.0,0
657.0,678.0,0
662.0,678.0,0
669.0,681.0,0
676.0,684.0,0
675.0,674.0,0
675.0,678.0,0
684.0,687.0,0
685.0,688.0,0
670.0,679.0,0
665.0,679.0,0
680.0,688.0,0
677.0,677.0,0
672.0,671.0,0
684.0,679.0,0
698.0,682.0,0
687.0,671.0,0
688.0,672.0,0
697.0,683.0,0
695.0,682.0,0
683.0,682.0,0
681.0,685.0,0
680.0,694.0,0
674.0,691.0,0
673.0,687.0,0
668.0,680.0,0
669.0,685.0,0
671.0,698.0,0
662.0,677.0,0
661.0,678.0,0
678.0,685.0,0
695.0,688.0,0
679.0,679.0,0
