ΔX,ΔY
86.0,446.0
86.0,446.0
-428.0,382.0
-428.0,382.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-304.0,428.0
-304.0,428.0
-304.0,428.0
-304.0,428.0
-304.0,428.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-386.0,422.0
-386.0,422.0
-386.0,422.0
-386.0,422.0
-386.0,422.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-426.0,402.0
-426.0,402.0
-426.0,402.0
-400.0,404.0
-400.0,404.0
-400.0,404.0
-400.0,404.0
-400.0,404.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
86.0,446.0
86.0,446.0
86.0,446.0
86.0,446.0
86.0,446.0
-402.0,418.0
-402.0,418.0
-402.0,418.0
-402.0,418.0
-402.0,418.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-304.0,428.0
-304.0,428.0
-304.0,428.0
-304.0,428.0
-304.0,428.0
-386.0,422.0
-386.0,422.0
-386.0,422.0
-386.0,422.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-408.0,382.0
-408.0,382.0
-408.0,382.0
-408.0,382.0
-408.0,382.0
-422.0,412.0
-422.0,412.0
-422.0,412.0
-422.0,412.0
-422.0,412.0
-398.0,414.0
-398.0,414.0
-398.0,414.0
-398.0,414.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
86.0,446.0
86.0,446.0
86.0,446.0
86.0,446.0
86.0,446.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-358.0,406.0
-358.0,406.0
-358.0,406.0
-358.0,406.0
-358.0,406.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-416.0,418.0
-416.0,418.0
-416.0,418.0
-416.0,418.0
-416.0,418.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-458.0,414.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-392.0,412.0
-408.0,382.0
-408.0,382.0
-408.0,382.0
-408.0,382.0
-398.0,414.0
-398.0,414.0
-398.0,414.0
-398.0,414.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-426.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
-428.0,418.0
