ΔX,ΔY
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
-52.0,278.0
-52.0,278.0
-52.0,278.0
84.0,402.0
84.0,402.0
84.0,402.0
116.0,316.0
116.0,316.0
28.0,320.0
28.0,320.0
28.0,320.0
-500.0,478.0
-500.0,478.0
-494.0,494.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-500.0,478.0
-500.0,478.0
-492.0,496.0
-492.0,496.0
-54.0,280.0
-54.0,280.0
-54.0,280.0
-174.0,268.0
-174.0,268.0
-174.0,268.0
70.0,256.0
70.0,256.0
70.0,256.0
-52.0,278.0
-52.0,278.0
-52.0,278.0
0.0,314.0
0.0,314.0
0.0,314.0
0.0,314.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
84.0,402.0
84.0,402.0
-138.0,288.0
-138.0,288.0
28.0,320.0
28.0,320.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-468.0,494.0
-468.0,494.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-502.0,470.0
-502.0,470.0
-502.0,470.0
-504.0,490.0
-504.0,490.0
-504.0,490.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
28.0,320.0
28.0,320.0
28.0,320.0
86.0,288.0
86.0,288.0
86.0,288.0
70.0,256.0
70.0,256.0
-114.0,304.0
-114.0,304.0
-114.0,304.0
-94.0,282.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
110.0,308.0
110.0,308.0
108.0,308.0
108.0,308.0
108.0,308.0
122.0,334.0
122.0,334.0
122.0,334.0
-12.0,310.0
-12.0,310.0
28.0,320.0
28.0,320.0
28.0,320.0
-476.0,486.0
-476.0,486.0
-500.0,478.0
-500.0,478.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-492.0,484.0
-492.0,484.0
-504.0,490.0
-504.0,490.0
-520.0,458.0
-520.0,458.0
-504.0,490.0
-504.0,490.0
-512.0,500.0
86.0,288.0
86.0,288.0
86.0,288.0
-48.0,284.0
-186.0,284.0
-186.0,284.0
36.0,346.0
-92.0,294.0
-92.0,294.0
-92.0,294.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
84.0,434.0
84.0,434.0
116.0,316.0
116.0,316.0
28.0,320.0
28.0,320.0
28.0,320.0
-500.0,478.0
-468.0,494.0
-468.0,494.0
-476.0,486.0
-476.0,486.0
-494.0,494.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-500.0,478.0
-500.0,478.0
-468.0,494.0
-468.0,494.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
16.0,276.0
-174.0,268.0
70.0,256.0
70.0,256.0
-44.0,268.0
22.0,308.0
22.0,308.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
84.0,380.0
102.0,284.0
28.0,320.0
-500.0,478.0
-500.0,478.0
-476.0,486.0
-476.0,486.0
-508.0,494.0
-508.0,494.0
-508.0,494.0
-468.0,494.0
-468.0,494.0
-468.0,494.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-508.0,494.0
-508.0,494.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-510.0,492.0
-510.0,492.0
-510.0,492.0
-510.0,492.0
-510.0,492.0
86.0,288.0
86.0,288.0
86.0,288.0
70.0,256.0
70.0,256.0
-114.0,304.0
-94.0,282.0
-94.0,282.0
20.0,320.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
-52.0,276.0
-52.0,276.0
78.0,366.0
78.0,366.0
78.0,366.0
122.0,334.0
122.0,334.0
122.0,334.0
28.0,320.0
28.0,320.0
28.0,320.0
28.0,320.0
28.0,320.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-494.0,494.0
-494.0,494.0
-494.0,494.0
-494.0,494.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-468.0,494.0
86.0,288.0
86.0,288.0
-174.0,268.0
70.0,256.0
70.0,256.0
-98.0,286.0
-98.0,286.0
20.0,320.0
20.0,320.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
86.0,412.0
86.0,412.0
108.0,308.0
108.0,308.0
28.0,320.0
28.0,320.0
-500.0,478.0
-500.0,478.0
-500.0,478.0
-494.0,494.0
-494.0,494.0
-500.0,478.0
-492.0,484.0
-492.0,484.0
-468.0,494.0
-468.0,494.0
-500.0,478.0
-504.0,490.0
-504.0,490.0
-500.0,478.0
-500.0,478.0
-86.0,306.0
-86.0,306.0
-86.0,306.0
8.0,262.0
8.0,262.0
70.0,256.0
70.0,256.0
70.0,256.0
-88.0,264.0
-88.0,264.0
-88.0,264.0
0.0,314.0
0.0,314.0
20.0,320.0
20.0,320.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
78.0,358.0
78.0,358.0
-50.0,286.0
116.0,316.0
116.0,316.0
-476.0,486.0
-476.0,486.0
-500.0,478.0
-500.0,478.0
86.0,288.0
86.0,288.0
70.0,256.0
22.0,308.0
22.0,308.0
22.0,308.0
-94.0,282.0
-94.0,282.0
20.0,320.0
20.0,320.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
28.0,346.0
-52.0,278.0
86.0,412.0
86.0,412.0
116.0,314.0
28.0,320.0
-476.0,486.0
-476.0,486.0
-508.0,494.0
